Name,x1,x2,ach,r1,r2
DP 164,1.631829089,1.902762593,2.896494068,1258.446,1108.3428
DP 165,1.097633817,2.471883248,5.015505689,802.35547,737.3844
DP 166,0.437425198,1.111713965,9.987744463,550.2052,545.98669
DP 167,0.672382802,2.424172646,8.24971382,647.35175,624.745
DP 168,2.083348916,1.215525757,11.58503474,543.57288,510.21744
DP 169,2.264665699,2.775937963,1.266309207,2462.6902,2087.6462
DP 170,0.367436963,1.244675197,1.456512108,2071.1226,2087.8354
DP 171,2.39337592,2.49050172,8.409290105,630.36023,576.74323
DP 172,1.99495678,1.243332898,1.239071561,2432.8193,2090.5945
DP 173,0.302141104,1.777936919,3.050786445,1157.4125,1164.5026
DP 174,1.197450073,2.376098763,2.626785063,1387.1158,1296.2509
DP 175,2.322127006,0.569159985,8.209572062,629.11102,598.44385
DP 176,1.843986864,0.644805534,9.869009475,557.71143,532.93524
DP 177,1.605599084,1.844716842,9.98732885,607.34583,569.24713
DP 178,2.649982672,1.952943467,4.919656888,806.49121,699.69391
DP 179,2.680416658,0.781044725,2.041158107,1598.808,1339.8773
DP 180,1.758123599,2.526380711,7.063344506,699.89893,659.8338
DP 181,2.271368029,2.573425198,5.212179426,791.81738,726.50421
DP 182,1.770545316,1.38535573,7.711918349,658.34125,604.69965
DP 183,1.217928005,2.718916905,7.632254481,637.01556,614.11359
DP 184,2.657947475,2.487647762,3.058435219,1180.501,1116.0906
DP 185,1.613098121,0.556924512,1.236741436,2383.3293,2300.4021
DP 186,1.038152354,1.073795983,8.630172212,606.67969,586.83051
DP 187,1.864041691,0.585281051,4.286455733,832.27142,791.1449
DP 188,1.919319464,2.182648657,2.871682596,1195.4094,1015.155
DP 189,1.946735279,2.525460614,8.618918496,642.73334,600.72998
DP 190,1.69515944,2.36103347,11.80135046,564.4624,540.75165
DP 191,1.021121284,1.928261028,3.312235132,1166.9048,1118.1478
DP 192,2.675795387,1.997471037,10.15274675,567.60156,513.11969
DP 193,1.244700399,1.863588453,6.468034878,759.0119,713.75281
DP 194,2.327201908,0.959000603,7.545357655,659.03326,598.53864
DP 195,2.295566694,0.720097303,3.282600587,1010.3576,854.08417
DP 196,0.305478772,0.367728955,8.281919572,616.75793,626.37683
DP 197,1.034543572,1.077354154,6.528713625,690.1579,665.0097
DP 198,0.882145091,1.894269566,7.027349604,720.00714,702.95093
DP 199,2.31981796,1.385692923,10.42753838,557.31512,495.32831
DP 200,1.36875264,2.776322952,9.992666851,575.87225,558.49731
DP 201,1.33514569,1.50174013,11.68997796,532.5965,502.4285
DP 202,2.290192488,2.429864499,10.34758102,581.01556,524.38513
DP 203,0.635805008,2.606622004,11.92540092,527.04315,523.01996
DP 204,1.114153609,1.543222964,8.685340506,613.23724,597.26074
DP 205,2.077667402,1.966593854,8.597974087,622.88727,543.29767
DP 206,1.245492854,0.818988666,1.322085152,2109.897,1916.8405
DP 207,1.936322949,0.999613967,6.294392933,700.73212,642.09399
DP 208,0.884492287,1.173319771,11.44706952,524.54248,515.28741
DP 209,2.695599787,0.435151301,3.12975213,1073.1504,1037.9576
DP 210,2.433116326,1.775373446,2.236315825,1400.8723,1121.53
DP 211,2.615616118,0.329172986,8.365168183,612.33514,591.07306
DP 212,0.923279305,1.290080726,3.081499359,1072.7542,1021.0085
DP 213,2.093819859,1.162817088,2.931957352,1226.3259,1094.8425
DP 214,2.352330335,0.724246893,5.294124727,750.74585,669.56714
DP 215,0.401635761,1.117413959,8.111107511,617.01587,611.75348
DP 216,1.859034802,2.22841515,6.038221201,768.7608,720.61017
DP 217,1.534856331,2.448274359,3.24214077,1147.9351,1089.2664
DP 218,1.852221532,2.73762379,11.89984049,513.57349,491.8855
DP 219,0.614760454,0.677889069,2.751808449,1173.5549,1140.4922
DP 220,2.164665731,0.334630179,11.6437026,494.43829,465.37009
DP 221,0.377787167,2.126221666,5.913506247,777.80566,771.12189
DP 222,1.476623015,0.643813034,7.621400207,636.91425,616.01019
DP 223,2.468312632,0.727546518,10.70712887,539.88177,502.9606
DP 224,0.66940311,1.920428493,4.268092241,982.72607,956.59009
DP 225,0.990720831,2.742893764,3.00557427,1168.5593,1100.9777
DP 226,2.25321597,2.136849734,11.65657551,527.50317,485.30807
DP 227,0.899810095,2.34860223,9.598342356,603.9856,575.1449
DP 228,0.858418146,0.654905056,1.401868729,2055.1885,1935.8011
DP 229,0.327406174,2.53307849,3.337932707,1041.2224,967.14392
DP 230,1.423318922,2.413973334,8.002412655,649.05377,616.16266
DP 231,0.339918046,0.430979636,9.882105114,566.95996,576.19452
DP 232,1.638642062,1.011463397,3.516899625,1000.6061,877.40192
DP 233,0.936677543,1.637080584,2.387749677,1410.6594,1323.1616
DP 234,2.278859761,2.018160825,1.21338422,2520.1091,2267.1892
DP 235,0.353025223,1.745179995,1.469604644,1995.1151,1996.5374
DP 236,1.208975989,0.880405672,10.29480204,566.08246,542.2832
DP 237,1.975876322,1.811764554,2.783373911,1213.2085,1017.9586
DP 238,2.256190739,0.324276063,5.592340912,651.96155,582.80652
DP 239,2.44982501,2.783577113,10.74461892,557.38635,503.79523
DP 240,0.647887156,0.658093448,8.800552974,600.94092,590.91022
DP 241,2.319283196,1.171349041,4.270707752,894.82965,792.32709
DP 242,1.061882068,0.356373414,7.54653504,591.8996,567.0188
DP 243,1.587579356,0.459403598,5.105798892,769.00183,725.38739
DP 244,1.33691185,1.849204989,1.804622036,1737.2864,1621.2068
DP 245,1.253204618,2.48965382,11.19309135,555.55902,534.84424
DP 246,1.273080159,0.795418366,3.795796244,954.59564,920.42242
DP 247,2.682194959,1.292470529,9.985250506,574.56915,500.27795
DP 248,1.700427268,1.288262389,4.668966468,857.95721,770.21533
DP 249,1.208488955,0.425727344,3.06587244,965.29242,896.79871
DP 250,1.016583769,0.506857512,10.65556703,552.13885,533.23975
